epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1838.31,1.43791,1.50928,1.368,0.66272,0.77496,0.7599,0.43887,1.40201,1.25926,1.46961,0.000735204,0.000735204,0.000735204
43,1884.06,1.41888,1.49614,1.3754,0.5899,0.75093,0.72001,0.40876,1.39719,1.25247,1.47804,0.000726038,0.000726038,0.000726038
44,1926.82,1.42915,1.44639,1.38163,0.63257,0.74223,0.75161,0.44145,1.42544,1.25793,1.48001,0.000716873,0.000716873,0.000716873
45,1973.95,1.39064,1.47655,1.36434,0.58594,0.79608,0.73081,0.43155,1.39112,1.29287,1.46538,0.000707707,0.000707707,0.000707707
46,2017.93,1.43632,1.4871,1.3768,0.61226,0.77505,0.73437,0.4257,1.41924,1.24782,1.49535,0.000698541,0.000698541,0.000698541
47,2061.97,1.40414,1.47098,1.36456,0.55648,0.82569,0.74996,0.43353,1.40481,1.29432,1.49666,0.000689376,0.000689376,0.000689376
48,2105.64,1.41445,1.4318,1.35324,0.55819,0.817,0.71638,0.41101,1.40695,1.25383,1.46668,0.00068021,0.00068021,0.00068021
49,2149.46,1.41694,1.47642,1.37104,0.61218,0.8034,0.7452,0.41512,1.45089,1.29072,1.48009,0.000671044,0.000671044,0.000671044
50,2192.23,1.42817,1.4578,1.39729,0.66756,0.80481,0.78238,0.45799,1.37226,1.17673,1.47844,0.000661878,0.000661878,0.000661878
51,2239.48,1.38544,1.43707,1.35166,0.67718,0.84312,0.78294,0.45832,1.36834,1.11596,1.46814,0.000652712,0.000652712,0.000652712
52,2286.12,1.38895,1.43681,1.35284,0.50064,0.80727,0.6777,0.37878,1.45524,1.47712,1.49103,0.000643547,0.000643547,0.000643547
53,2330.15,1.40312,1.42279,1.37328,0.6628,0.80934,0.76492,0.4483,1.45217,1.17292,1.46867,0.000634381,0.000634381,0.000634381
54,2373.83,1.40588,1.42171,1.36306,0.63883,0.85632,0.76058,0.4539,1.36262,1.15223,1.43634,0.000625215,0.000625215,0.000625215
55,2417.53,1.39102,1.41311,1.35274,0.58226,0.83771,0.7937,0.45569,1.38211,1.21647,1.45531,0.000616049,0.000616049,0.000616049
56,2460.32,1.38805,1.39782,1.34682,0.5849,0.76295,0.72905,0.41396,1.4435,1.31799,1.49105,0.000606884,0.000606884,0.000606884
57,2504,1.39239,1.37699,1.35418,0.64656,0.81299,0.77031,0.43768,1.41153,1.29488,1.46784,0.000597718,0.000597718,0.000597718
58,2547.9,1.37614,1.37416,1.3439,0.49544,0.82274,0.69346,0.40965,1.3805,1.37543,1.45408,0.000588552,0.000588552,0.000588552
59,2591.95,1.38679,1.38811,1.36129,0.60363,0.8333,0.78672,0.46788,1.39008,1.11548,1.4593,0.000579386,0.000579386,0.000579386
60,2640.51,1.3741,1.41462,1.34981,0.64947,0.72799,0.77233,0.45507,1.42225,1.22392,1.49894,0.000570221,0.000570221,0.000570221
61,2688.47,1.34987,1.36227,1.3281,0.62096,0.85259,0.76927,0.46258,1.43698,1.13981,1.48143,0.000561055,0.000561055,0.000561055
62,2735.42,1.33185,1.34521,1.33542,0.67572,0.81612,0.77024,0.44446,1.43442,1.17391,1.49794,0.000551889,0.000551889,0.000551889
63,2780.52,1.3636,1.36605,1.32767,0.61144,0.72415,0.74873,0.42797,1.45657,1.25162,1.45869,0.000542723,0.000542723,0.000542723
64,2825.26,1.37665,1.33182,1.34046,0.64156,0.78294,0.77748,0.45986,1.42198,1.19282,1.4658,0.000533558,0.000533558,0.000533558
65,2869.9,1.3827,1.36286,1.34743,0.7169,0.75606,0.78324,0.46578,1.39639,1.09735,1.47197,0.000524392,0.000524392,0.000524392
66,2914.66,1.34326,1.33034,1.33879,0.74537,0.77885,0.82436,0.49956,1.38923,1.10248,1.48316,0.000515226,0.000515226,0.000515226
67,2964.37,1.33808,1.30212,1.3276,0.7128,0.79549,0.79419,0.48002,1.40769,1.08003,1.50664,0.00050606,0.00050606,0.00050606
68,3009.9,1.34952,1.31731,1.3171,0.6756,0.82909,0.77857,0.462,1.40027,1.10808,1.46477,0.000496895,0.000496895,0.000496895
69,3055.06,1.32243,1.2949,1.32353,0.51675,0.81742,0.69217,0.41176,1.41325,1.25485,1.46,0.000487729,0.000487729,0.000487729
70,3099.28,1.34963,1.28693,1.33354,0.71655,0.77827,0.80307,0.48935,1.3744,1.03537,1.46058,0.000478563,0.000478563,0.000478563
71,3143.46,1.3572,1.29185,1.33899,0.728,0.79293,0.79236,0.48475,1.38451,1.09247,1.46473,0.000469397,0.000469397,0.000469397
72,3187.99,1.3566,1.30611,1.32945,0.65408,0.78708,0.79687,0.48308,1.38757,1.16797,1.43448,0.000460232,0.000460232,0.000460232
73,3231.95,1.3069,1.26668,1.31245,0.61076,0.83055,0.77869,0.47049,1.43677,1.13483,1.47036,0.000451066,0.000451066,0.000451066
74,3275.09,1.33874,1.23985,1.32332,0.67419,0.8071,0.8005,0.45947,1.40972,1.10859,1.48418,0.0004419,0.0004419,0.0004419
75,3318.82,1.31036,1.22361,1.31101,0.68855,0.82666,0.81196,0.49065,1.40037,1.07901,1.46347,0.000432734,0.000432734,0.000432734
76,3363.31,1.32548,1.28406,1.30805,0.70693,0.80484,0.79417,0.47382,1.3843,1.05418,1.46112,0.000423569,0.000423569,0.000423569
77,3407.06,1.31165,1.26474,1.31936,0.72504,0.7783,0.804,0.47922,1.44903,1.08363,1.49182,0.000414403,0.000414403,0.000414403
78,3450.7,1.33133,1.25617,1.32404,0.73416,0.80685,0.78606,0.46189,1.41662,1.03789,1.48789,0.000405237,0.000405237,0.000405237
79,3494.92,1.33039,1.24641,1.30427,0.72077,0.82036,0.79674,0.4764,1.42299,1.05929,1.4951,0.000396071,0.000396071,0.000396071
80,3538.87,1.29943,1.22294,1.2815,0.71017,0.8128,0.82328,0.49844,1.37842,1.0583,1.46711,0.000386906,0.000386906,0.000386906
81,3583.14,1.30019,1.21644,1.29233,0.70356,0.838,0.79882,0.48019,1.39575,1.06855,1.4823,0.00037774,0.00037774,0.00037774
82,3627.67,1.29552,1.23316,1.30996,0.70906,0.81254,0.80897,0.48792,1.39223,1.03658,1.48493,0.000368574,0.000368574,0.000368574
